asset,ma_short,ma_long,avg_sharpe,worst_fold_sharpe,win_rate,fold_1_sharpe,fold_2_sharpe,fold_3_sharpe,fold_4_sharpe,fold_5_sharpe,fold_6_sharpe
gold,10,40,-0.2847327300419356,-1.0019900517195863,0.0,-1.0019900517195863,0.0,0.0,-0.7064063285320276,0.0,0.0
gold,10,50,-0.3201647256775075,-1.2348060913364503,0.0,-1.2348060913364503,0.0,0.0,-0.6861822627285946,0.0,0.0
gold,10,60,0.17127409353266873,-0.6861822627285946,0.16666666666666666,1.713826823924607,0.0,0.0,-0.6861822627285946,0.0,0.0
gold,10,75,0.3072010574113361,-0.2984955558291634,0.5,1.1608318298152327,0.0,0.6591188928756435,0.3217511776063034,0.0,-0.2984955558291634
gold,15,40,0.00045468578129237436,-0.7466575691696107,0.16666666666666666,0.7493856838573649,0.0,0.0,-0.7466575691696107,0.0,0.0
gold,15,50,0.425271816405258,-0.3401388321752532,0.5,1.5660265211596072,1.0039920318408906,-0.3401388321752532,0.3217511776063034,0.0,0.0
gold,15,60,0.4189247089664449,-0.13869787270282957,0.3333333333333333,1.9397937901554445,0.0,-0.13869787270282957,0.7124523363460542,0.0,0.0
gold,15,75,0.26678655371620064,-0.6534535842564587,0.5,1.3053331540436102,0.0,0.6591188928756435,0.2897208596344086,0.0,-0.6534535842564587
gold,20,40,0.10603202556550188,-1.0019900517195868,0.5,0.6701505551595439,0.6299540499559466,-0.13869787270282957,0.47677547269993714,-1.0019900517195868,0.0
gold,20,50,0.29060779930517877,-0.06785357955344902,0.5,1.3383377939485148,0.27589101157409684,-0.06785357955344902,0.19727156986190988,0.0,0.0
gold,20,60,0.48642367654607055,-0.2518629778317099,0.6666666666666666,1.448943095791679,0.6299540499559466,0.6591188928756435,0.43238899848486395,0.0,-0.2518629778317099
gold,20,75,0.46344120539168543,-0.338358261651156,0.6666666666666666,1.0424119459719674,0.7302591538651307,0.6591188928756435,0.6872155012885269,0.0,-0.338358261651156
gold,25,50,0.4001987787587722,-0.6359903732397918,0.6666666666666666,1.4037583020981894,0.5720321635198053,0.6591188928756435,0.5696268373299307,-0.6359903732397918,-0.1673531500311441
gold,25,60,0.4039151375079675,-0.5141225936277264,0.6666666666666666,1.2820707701076397,0.27589101157409684,0.6591188928756435,0.7205327441181513,0.0,-0.5141225936277264
gold,25,75,0.8035753743830222,0.6591188928756435,1.0,0.7314026093072431,0.7302591538651307,0.6591188928756435,0.7710209616819123,1.0019900517195868,0.9276605768486164
crude,10,40,0.3156118501371481,0.0,0.5,0.0,0.14663439507791146,0.0,0.0,1.4181540065052292,0.328882699239748
crude,10,50,0.17156363603620042,-1.4955609792596474,0.5,0.0,1.0019900517195865,-1.4955609792596474,0.0,0.6322551506981072,0.8906975930591562
crude,10,60,-0.18440965825690844,-0.687019942207721,0.3333333333333333,0.0,0.002517605980862989,-0.687019942207721,0.0,0.1640920760975414,-0.5860476894121339
crude,10,75,-0.26895036108098486,-1.5329530642524611,0.16666666666666666,0.0,1.0553371887965366,-1.5329530642524611,0.0,-0.7415515487691183,-0.39453474226086654
crude,15,40,0.1265097786257068,-0.22238859077865003,0.3333333333333333,0.0,-0.22238859077865003,-0.1675559188659783,0.0,0.1640920760975414,0.9849111053013277
crude,15,50,-0.3403496293463956,-1.1819628367072692,0.16666666666666666,0.0,0.2416099352993046,-1.1819628367072692,0.0,-0.8363277530640116,-0.26541712160639724
crude,15,60,-0.3483687027881066,-0.8363277530640116,0.16666666666666666,0.0,0.0068325018384274095,-0.7690555182009748,0.0,-0.8363277530640116,-0.4916614473020806
crude,15,75,-0.30094384083300113,-1.5814676957263682,0.16666666666666666,0.0,0.7199577371690646,-1.5814676957263682,0.0,-0.3739393963278529,-0.5702136901128504
crude,20,40,-0.06549875627275152,-0.638131190537848,0.16666666666666666,0.0,0.8259364766909016,-0.638131190537848,0.0,-0.3739393963278529,-0.20685842746170988
crude,20,50,-0.28937578791677626,-0.7476750302801495,0.0,0.0,-0.3074841827954538,-0.7476750302801495,0.0,-0.18542509408809293,-0.4956704203369614
crude,20,60,-0.47324491631692106,-1.360285923422384,0.16666666666666666,0.0,0.02633573748658072,-1.360285923422384,0.0,-0.7840388550399274,-0.7214804569257954
crude,20,75,-0.36090668063381814,-1.533208112716889,0.16666666666666666,0.0,0.938752542336468,-1.533208112716889,-0.18509054725668064,-0.7481043791923154,-0.637789586973492
crude,25,50,0.03232483480117839,-0.6854219500213694,0.3333333333333333,1.0216978866617241,-0.0727814997642232,-0.5165026872478168,0.7064063285320277,-0.6854219500213694,-0.25944906935327205
crude,25,60,-0.590592034289,-1.860448268653968,0.0,0.0,-0.3169130002491784,-1.860448268653968,-0.18509054725668064,-0.7873578477933829,-0.3937425417807895
crude,25,75,-0.2895258372124863,-1.7845320751676024,0.3333333333333333,0.0,1.1538632518949536,-1.7845320751676024,0.2693098090459136,-0.25048236308960836,-1.1253136459585746
sp500,10,40,0.15978416531959258,-0.22170964910569554,0.16666666666666666,-0.03388305962100108,1.2142977006442521,-0.22170964910569554,0.0,0.0,0.0
sp500,10,50,0.15728049066374783,-0.7849082996015729,0.5,0.19893881301449484,1.5064454662837585,-0.04462907558165831,0.0,-0.7849082996015729,0.06783603986746484
sp500,10,60,0.25445783128029914,-1.2299803063644021,0.6666666666666666,0.6225906049031208,1.6251073822050153,0.5821124765457344,0.4828295659982549,-1.2299803063644021,-0.5559127356059285
sp500,10,75,0.4391040106852501,-0.8702455812754585,0.5,1.0784492490824924,2.166448332692102,-0.18544053624406912,0.8093732303919016,-0.36396063053546746,-0.8702455812754585
sp500,15,40,0.4287906293718022,-0.5506418974920627,0.8333333333333334,0.13474747170977547,0.8647122254495183,0.6058739822936929,1.4502159544024242,-0.5506418974920627,0.06783603986746484
sp500,15,50,0.08775197073671627,-1.176501146270021,0.5,-0.042606512696929874,2.1804334946744053,0.22425137588850208,0.27130768133159566,-1.176501146270021,-0.9303730685072543
sp500,15,60,0.2512854837355217,-0.9464233564467034,0.5,0.6503697715983702,1.6785411381998177,-0.051646275232231656,0.6259783686775758,-0.9464233564467034,-0.4491067443836986
sp500,15,75,0.4698425764955494,-1.0723544923643078,0.6666666666666666,1.0784492490824924,1.3980494156643934,-0.09268188655340161,1.346648644167642,-1.0723544923643078,0.16094452897647782
sp500,20,40,0.42629030775251703,-1.2061182725352468,0.6666666666666666,0.22682065491796308,1.6785411381998177,0.7002083775576342,1.303486193729537,-1.2061182725352468,-0.1451962453546032
sp500,20,50,0.33525601812335487,-1.3585577627487715,0.6666666666666666,0.15735445589420424,1.981891632426447,0.3908937279474674,1.1997687490685203,-1.3585577627487715,-0.35981469384773823
sp500,20,60,0.42672894250092125,-1.3378499498953766,0.8333333333333334,0.8488676590944102,1.2315025135254472,0.4931926861663764,0.6534409166209497,-1.3378499498953766,0.671219829493721
sp500,20,75,0.2522243620061292,-1.3694549003094871,0.6666666666666666,1.0784492490824924,0.5615606006705229,-0.030727433372621116,0.8987744527767759,-1.3694549003094871,0.37474420318909213
sp500,25,50,0.3080549970145568,-1.3370306267479968,0.8333333333333334,0.7154324812939926,0.5502702096885747,0.1335830983684967,1.0682767703347364,-1.3370306267479968,0.7177980491495373
sp500,25,60,0.4212896304718156,-1.107874063523445,0.6666666666666666,1.0784492490824924,0.7900743576329112,-0.030727433372621116,1.0789145196980177,-1.107874063523445,0.7189011533135387
sp500,25,75,0.15973959621373732,-2.0404819572530624,0.8333333333333334,1.0784492490824924,0.4007743461157525,0.6994912970641777,0.08131987660836615,-2.0404819572530624,0.7388847656646977
