Date,Open,High,Low,Close,Volume,ma_short,ma_long,rsi,trend_up,position,signal
2016-01-04,37.59999847412109,38.38999938964844,36.33000183105469,36.7599983215332,431985,,,,False,0.0,0.0
2016-01-05,36.900001525878906,37.09999847412109,35.7400016784668,35.970001220703125,410131,,,,False,0.0,0.0
2016-01-06,36.18000030517578,36.38999938964844,33.77000045776367,33.970001220703125,563811,,,,False,0.0,0.0
2016-01-07,34.09000015258789,34.2599983215332,32.099998474121094,33.27000045776367,617409,,,,False,0.0,0.0
2016-01-08,33.29999923706055,34.34000015258789,32.63999938964844,33.15999984741211,596496,,,,False,0.0,0.0
2016-01-11,32.939998626708984,33.20000076293945,30.8799991607666,31.40999984741211,648640,,,,False,0.0,0.0
2016-01-12,31.11000061035156,32.209999084472656,29.93000030517578,30.440000534057617,627218,,,,False,0.0,0.0
2016-01-13,30.540000915527344,31.709999084472656,30.100000381469727,30.479999542236328,637903,,,,False,0.0,0.0
2016-01-14,30.600000381469727,31.770000457763672,30.280000686645508,31.200000762939453,537906,,,,False,0.0,0.0
2016-01-15,31.18000030517578,31.18000030517578,29.1299991607666,29.420000076293945,329094,,,,False,0.0,0.0
2016-01-19,29.200000762939453,30.209999084472656,28.209999084472656,28.459999084472656,188026,,,,False,0.0,0.0
2016-01-20,28.32999992370605,28.57999992370605,26.190000534057617,26.549999237060547,690039,,,,False,0.0,0.0
2016-01-21,28.350000381469727,30.25,27.8700008392334,29.530000686645508,694040,,,,False,0.0,0.0
2016-01-22,29.84000015258789,32.349998474121094,29.530000686645508,32.189998626708984,636573,,,,False,0.0,0.0
2016-01-25,32.04999923706055,32.7400016784668,29.68000030517578,30.34000015258789,606892,,,33.298649751796546,False,0.0,0.0
2016-01-26,29.809999465942383,32.40999984741211,29.25,31.450000762939453,642432,,,38.43398094681797,False,0.0,0.0
2016-01-27,30.549999237060547,32.84000015258789,30.13999938964844,32.29999923706055,738551,,,45.45948330867644,False,0.0,0.0
2016-01-28,32.189998626708984,34.81999969482422,31.739999771118164,33.220001220703125,833378,,,49.86566567592497,False,0.0,0.0
2016-01-29,33.70000076293945,34.400001525878906,32.650001525878906,33.619998931884766,618110,,,51.21692894227313,False,0.0,0.0
