date,action,price,units,fee,test_year,ma_short,ma_long
2020-09-25,BUY,3298.4599609375,30.286861499936492,100.0,2020,10,80
2020-10-14,SELL,3488.669921875,30.286861499936492,105.66086274282239,2020,10,80
2020-11-04,BUY,3443.43994140625,30.623344234990608,105.55520188007957,2020,10,80
2020-11-18,SELL,3567.7900390625,30.623344234990608,109.25766252438153,2020,10,80
2021-09-23,BUY,4448.97998046875,24.508821558128652,109.14840486185714,2021,10,80
2021-10-04,SELL,4300.4599609375,24.508821558128652,105.3992058004941,2021,10,80
2022-12-22,BUY,3822.389892578125,27.519043254154113,105.2938065946936,2022,10,80
2022-12-30,SELL,3839.5,27.519043254154113,105.65936657432471,2022,10,80
2023-03-03,BUY,4045.639892578125,26.06464151542285,105.55370720775039,2023,10,80
2023-03-13,SELL,3855.760009765625,26.06464151542285,100.49900242404432,2023,10,80
2023-08-23,BUY,4436.009765625,22.609982893955017,100.39850342162028,2023,10,80
2023-09-25,SELL,4337.43994140625,22.609982893955017,98.06944287875257,2023,10,80
2024-04-23,BUY,5070.5498046875,19.302325355715528,97.97137343587382,2024,10,120
2024-05-10,SELL,5222.68017578125,19.302325355715528,100.80987198177526,2024,10,120
2024-08-07,BUY,5199.5,19.349620741933588,100.70906210979348,2024,10,120
2024-08-26,SELL,5616.83984375,19.349620741933588,108.68372074474402,2024,10,120
