date,equity
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,99900.0
2020-03-19,99987.9054212504
2020-03-20,100353.0732416893
2020-03-23,105965.81251329322
2020-03-24,112268.30680309985
2020-03-25,110381.62153130853
2020-03-26,111585.3124704079
2020-03-27,109813.58361671527
2020-03-30,109685.09757278979
2020-03-31,107074.83734563143
2020-04-01,106723.19089621404
2020-04-02,109935.30072032473
2020-04-03,110476.28763806968
2020-04-06,113404.38263228636
2020-04-07,112579.38088464741
2020-04-08,112507.3332992647
2020-04-09,112507.3332992647
2020-04-13,112507.3332992647
2020-04-14,112507.3332992647
2020-04-15,112507.3332992647
2020-04-16,112507.3332992647
2020-04-17,112507.3332992647
2020-04-20,112507.3332992647
2020-04-21,112507.3332992647
2020-04-22,112507.3332992647
2020-04-23,112507.3332992647
2020-04-24,112507.3332992647
2020-04-27,112507.3332992647
2020-04-28,112507.3332992647
2020-04-29,112507.3332992647
2020-04-30,112507.3332992647
2020-05-01,112507.3332992647
2020-05-04,112507.3332992647
2020-05-05,112507.3332992647
2020-05-06,112507.3332992647
2020-05-07,112507.3332992647
2020-05-08,112507.3332992647
2020-05-11,112507.3332992647
2020-05-12,112507.3332992647
2020-05-13,112507.3332992647
2020-05-14,112507.3332992647
2020-05-15,112507.3332992647
2020-05-18,112507.3332992647
2020-05-19,112507.3332992647
2020-05-20,112507.3332992647
2020-05-21,112507.3332992647
2020-05-22,112507.3332992647
2020-05-26,112507.3332992647
2020-05-27,112507.3332992647
2020-05-28,112507.3332992647
2020-05-29,112507.3332992647
2020-06-01,112507.3332992647
2020-06-02,112507.3332992647
2020-06-03,112507.3332992647
2020-06-04,112507.3332992647
2020-06-05,112507.3332992647
2020-06-08,112507.3332992647
2020-06-09,112507.3332992647
2020-06-10,112507.3332992647
2020-06-11,112507.3332992647
2020-06-12,112507.3332992647
2020-06-15,112507.3332992647
2020-06-16,112507.3332992647
2020-06-17,112507.3332992647
2020-06-18,112507.3332992647
2020-06-19,112507.3332992647
2020-06-22,112507.3332992647
2020-06-23,112507.3332992647
2020-06-24,112507.3332992647
2020-06-25,112507.3332992647
2020-06-26,112507.3332992647
2020-06-29,112507.3332992647
2020-06-30,112507.3332992647
2020-07-01,112507.3332992647
2020-07-02,112507.3332992647
2020-07-06,112507.3332992647
2020-07-07,112507.3332992647
2020-07-08,112507.3332992647
2020-07-09,112507.3332992647
2020-07-10,112507.3332992647
2020-07-13,112507.3332992647
2020-07-14,112507.3332992647
2020-07-15,112507.3332992647
2020-07-16,112507.3332992647
2020-07-17,112507.3332992647
2020-07-20,112507.3332992647
2020-07-21,112507.3332992647
2020-07-22,112507.3332992647
2020-07-23,112507.3332992647
2020-07-24,112507.3332992647
2020-07-27,112507.3332992647
2020-07-28,112507.3332992647
2020-07-29,112507.3332992647
2020-07-30,112507.3332992647
2020-07-31,112507.3332992647
2020-08-03,112507.3332992647
2020-08-04,112507.3332992647
2020-08-05,112507.3332992647
2020-08-06,112507.3332992647
2020-08-07,112507.3332992647
2020-08-10,112507.3332992647
2020-08-11,112507.3332992647
2020-08-12,112507.3332992647
2020-08-13,112507.3332992647
2020-08-14,112507.3332992647
2020-08-17,112507.3332992647
2020-08-18,112507.3332992647
2020-08-19,112507.3332992647
2020-08-20,112507.3332992647
2020-08-21,112507.3332992647
2020-08-24,112507.3332992647
2020-08-25,112507.3332992647
2020-08-26,112507.3332992647
2020-08-27,112507.3332992647
2020-08-28,112507.3332992647
2020-08-31,112507.3332992647
2020-09-01,112507.3332992647
2020-09-02,112507.3332992647
2020-09-03,112507.3332992647
2020-09-04,112507.3332992647
2020-09-08,112507.3332992647
2020-09-09,112507.3332992647
2020-09-10,112507.3332992647
2020-09-11,112507.3332992647
2020-09-14,112507.3332992647
2020-09-15,112507.3332992647
2020-09-16,112507.3332992647
2020-09-17,112507.3332992647
2020-09-18,112507.3332992647
2020-09-21,112507.3332992647
2020-09-22,112507.3332992647
2020-09-23,112507.3332992647
2020-09-24,112507.3332992647
2020-09-25,112507.3332992647
2020-09-28,112507.3332992647
2020-09-29,112507.3332992647
2020-09-30,112507.3332992647
2020-10-01,112507.3332992647
2020-10-02,112507.3332992647
2020-10-05,112507.3332992647
2020-10-06,112507.3332992647
2020-10-07,112507.3332992647
2020-10-08,112507.3332992647
2020-10-09,112507.3332992647
2020-10-12,112507.3332992647
2020-10-13,112507.3332992647
2020-10-14,112507.3332992647
2020-10-15,112507.3332992647
2020-10-16,112507.3332992647
2020-10-19,112507.3332992647
2020-10-20,112507.3332992647
2020-10-21,112507.3332992647
2020-10-22,112507.3332992647
2020-10-23,112507.3332992647
2020-10-26,112507.3332992647
2020-10-27,112507.3332992647
2020-10-28,112507.3332992647
2020-10-29,112507.3332992647
2020-10-30,112507.3332992647
2020-11-02,112507.3332992647
2020-11-03,112507.3332992647
2020-11-04,112507.3332992647
2020-11-05,112507.3332992647
2020-11-06,112507.3332992647
2020-11-09,112507.3332992647
2020-11-10,112507.3332992647
2020-11-11,112507.3332992647
2020-11-12,112507.3332992647
2020-11-13,112507.3332992647
2020-11-16,112507.3332992647
2020-11-17,112507.3332992647
2020-11-18,112507.3332992647
2020-11-19,112507.3332992647
2020-11-20,112507.3332992647
2020-11-23,112507.3332992647
2020-11-24,112507.3332992647
2020-11-25,112507.3332992647
2020-11-27,112507.3332992647
2020-11-30,112507.3332992647
2020-12-01,112507.3332992647
2020-12-02,112507.3332992647
2020-12-03,112507.3332992647
2020-12-04,112507.3332992647
2020-12-07,112507.3332992647
2020-12-08,112507.3332992647
2020-12-09,112507.3332992647
2020-12-10,112507.3332992647
2020-12-11,112507.3332992647
2020-12-14,112507.3332992647
2020-12-15,112507.3332992647
2020-12-16,112507.3332992647
2020-12-17,112507.3332992647
2020-12-18,112507.3332992647
2020-12-21,112507.3332992647
2020-12-22,112507.3332992647
2020-12-23,112507.3332992647
2020-12-24,112507.3332992647
2020-12-28,112507.3332992647
2020-12-29,112507.3332992647
2020-12-30,112507.3332992647
2020-12-31,112507.3332992647
2021-01-04,112507.3332992647
2021-01-05,112507.3332992647
2021-01-06,112507.3332992647
2021-01-07,112507.3332992647
2021-01-08,112507.3332992647
2021-01-11,112507.3332992647
2021-01-12,112507.3332992647
2021-01-13,112507.3332992647
2021-01-14,112507.3332992647
2021-01-15,112507.3332992647
2021-01-19,112507.3332992647
2021-01-20,112507.3332992647
2021-01-21,112507.3332992647
2021-01-22,112507.3332992647
2021-01-25,112507.3332992647
2021-01-26,112507.3332992647
2021-01-27,112507.3332992647
2021-01-28,112394.82596596544
2021-01-29,112969.67448550405
2021-02-01,113795.25266189277
2021-02-02,111942.28532441036
2021-02-03,112046.24403466417
2021-02-04,109398.28295536937
2021-02-05,110743.66961318802
2021-02-08,112027.90233201491
