date,equity
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,99900.0
2020-02-18,99900.0
2020-02-19,102177.66567387305
2020-02-20,102177.66567387305
2020-02-21,102177.66567387305
2020-02-24,102177.66567387305
2020-02-25,102177.66567387305
2020-02-26,102177.66567387305
2020-02-27,102177.66567387305
2020-02-28,102177.66567387305
2020-03-02,102177.66567387305
2020-03-03,102177.66567387305
2020-03-04,102177.66567387305
2020-03-05,102177.66567387305
2020-03-06,102177.66567387305
2020-03-09,102177.66567387305
2020-03-10,102177.66567387305
2020-03-11,102177.66567387305
2020-03-12,102177.66567387305
2020-03-13,102177.66567387305
2020-03-16,102177.66567387305
2020-03-17,102177.66567387305
2020-03-18,102177.66567387305
2020-03-19,102177.66567387305
2020-03-20,102177.66567387305
2020-03-23,102177.66567387305
2020-03-24,102177.66567387305
2020-03-25,102177.66567387305
2020-03-26,102177.66567387305
2020-03-27,102177.66567387305
2020-03-30,102177.66567387305
2020-03-31,102177.66567387305
2020-04-01,102177.66567387305
2020-04-02,102177.66567387305
2020-04-03,102177.66567387305
2020-04-06,102177.66567387305
2020-04-07,102177.66567387305
2020-04-08,102177.66567387305
2020-04-09,102177.66567387305
2020-04-13,102177.66567387305
2020-04-14,102177.66567387305
2020-04-15,102177.66567387305
2020-04-16,102177.66567387305
2020-04-17,102177.66567387305
2020-04-20,102177.66567387305
2020-04-21,102177.66567387305
2020-04-22,102177.66567387305
2020-04-23,102177.66567387305
2020-04-24,102177.66567387305
2020-04-27,102177.66567387305
2020-04-28,102177.66567387305
2020-04-29,102177.66567387305
2020-04-30,102177.66567387305
2020-05-01,102177.66567387305
2020-05-04,102177.66567387305
2020-05-05,102177.66567387305
2020-05-06,102177.66567387305
2020-05-07,102177.66567387305
2020-05-08,102177.66567387305
2020-05-11,102177.66567387305
2020-05-12,102177.66567387305
2020-05-13,102177.66567387305
2020-05-14,102177.66567387305
2020-05-15,102177.66567387305
2020-05-18,102177.66567387305
2020-05-19,102177.66567387305
2020-05-20,102177.66567387305
2020-05-21,102177.66567387305
2020-05-22,102177.66567387305
2020-05-26,102177.66567387305
2020-05-27,102177.66567387305
2020-05-28,102177.66567387305
2020-05-29,102177.66567387305
2020-06-01,102177.66567387305
2020-06-02,102177.66567387305
2020-06-03,102177.66567387305
2020-06-04,102177.66567387305
2020-06-05,102177.66567387305
2020-06-08,102177.66567387305
2020-06-09,102177.66567387305
2020-06-10,102177.66567387305
2020-06-11,102177.66567387305
2020-06-12,102177.66567387305
2020-06-15,102177.66567387305
2020-06-16,102177.66567387305
2020-06-17,102177.66567387305
2020-06-18,102177.66567387305
2020-06-19,102177.66567387305
2020-06-22,102177.66567387305
2020-06-23,102177.66567387305
2020-06-24,102177.66567387305
2020-06-25,102177.66567387305
2020-06-26,102177.66567387305
2020-06-29,102177.66567387305
2020-06-30,102177.66567387305
2020-07-01,102177.66567387305
2020-07-02,102177.66567387305
2020-07-06,102177.66567387305
2020-07-07,102177.66567387305
2020-07-08,102177.66567387305
2020-07-09,102177.66567387305
2020-07-10,102177.66567387305
2020-07-13,102177.66567387305
2020-07-14,102177.66567387305
2020-07-15,102177.66567387305
2020-07-16,102177.66567387305
2020-07-17,102177.66567387305
2020-07-20,102177.66567387305
2020-07-21,102177.66567387305
2020-07-22,102177.66567387305
2020-07-23,102177.66567387305
2020-07-24,102177.66567387305
2020-07-27,102177.66567387305
2020-07-28,102177.66567387305
2020-07-29,102177.66567387305
2020-07-30,102177.66567387305
2020-07-31,102177.66567387305
2020-08-03,102177.66567387305
2020-08-04,102177.66567387305
2020-08-05,102177.66567387305
2020-08-06,102177.66567387305
2020-08-07,102177.66567387305
2020-08-10,102177.66567387305
2020-08-11,102177.66567387305
2020-08-12,102177.66567387305
2020-08-13,102177.66567387305
2020-08-14,102177.66567387305
2020-08-17,102177.66567387305
2020-08-18,102177.66567387305
2020-08-19,102177.66567387305
2020-08-20,102177.66567387305
2020-08-21,102177.66567387305
2020-08-24,102177.66567387305
2020-08-25,102177.66567387305
2020-08-26,102177.66567387305
2020-08-27,102177.66567387305
2020-08-28,102177.66567387305
2020-08-31,102177.66567387305
2020-09-01,102177.66567387305
2020-09-02,102177.66567387305
2020-09-03,102177.66567387305
2020-09-04,102177.66567387305
2020-09-08,102177.66567387305
2020-09-09,102177.66567387305
2020-09-10,102177.66567387305
2020-09-11,102177.66567387305
2020-09-14,102177.66567387305
2020-09-15,102177.66567387305
2020-09-16,102177.66567387305
2020-09-17,102075.48800819917
2020-09-18,102424.2921476531
2020-09-21,97939.64984687389
2020-09-22,98662.16863394275
2020-09-23,99484.35796625563
2020-09-24,100431.11884777345
2020-09-25,100281.62728620748
2020-09-28,101153.63763484232
2020-09-29,97791.92950702556
2020-09-30,97791.92950702556
2020-10-01,97791.92950702556
2020-10-02,97791.92950702556
2020-10-05,97791.92950702556
2020-10-06,97791.92950702556
2020-10-07,97791.92950702556
2020-10-08,97791.92950702556
2020-10-09,97791.92950702556
2020-10-12,97791.92950702556
2020-10-13,97791.92950702556
2020-10-14,97791.92950702556
2020-10-15,97791.92950702556
2020-10-16,97791.92950702556
2020-10-19,97791.92950702556
2020-10-20,97791.92950702556
2020-10-21,97791.92950702556
2020-10-22,97791.92950702556
2020-10-23,97791.92950702556
2020-10-26,97791.92950702556
2020-10-27,97791.92950702556
2020-10-28,97791.92950702556
2020-10-29,97791.92950702556
2020-10-30,97791.92950702556
2020-11-02,97791.92950702556
2020-11-03,97791.92950702556
2020-11-04,97791.92950702556
2020-11-05,97791.92950702556
2020-11-06,97791.92950702556
2020-11-09,97791.92950702556
2020-11-10,97791.92950702556
2020-11-11,97791.92950702556
2020-11-12,97791.92950702556
2020-11-13,97791.92950702556
2020-11-16,97791.92950702556
2020-11-17,97791.92950702556
2020-11-18,97791.92950702556
2020-11-19,97791.92950702556
2020-11-20,97791.92950702556
2020-11-23,97791.92950702556
2020-11-24,97791.92950702556
2020-11-25,97791.92950702556
2020-11-27,97791.92950702556
2020-11-30,97791.92950702556
2020-12-01,97791.92950702556
2020-12-02,97791.92950702556
2020-12-03,97791.92950702556
2020-12-04,97791.92950702556
2020-12-07,97791.92950702556
2020-12-08,97791.92950702556
2020-12-09,97791.92950702556
2020-12-10,97791.92950702556
2020-12-11,97791.92950702556
2020-12-14,97791.92950702556
2020-12-15,97791.92950702556
2020-12-16,97791.92950702556
2020-12-17,97791.92950702556
2020-12-18,97791.92950702556
2020-12-21,97791.92950702556
2020-12-22,97791.92950702556
2020-12-23,97791.92950702556
2020-12-24,97791.92950702556
2020-12-28,97791.92950702556
2020-12-29,97791.92950702556
2020-12-30,97791.92950702556
2020-12-31,97791.92950702556
2021-01-04,97791.92950702556
2021-01-05,97791.92950702556
2021-01-06,97791.92950702556
2021-01-07,97791.92950702556
2021-01-08,97791.92950702556
2021-01-11,97791.92950702556
2021-01-12,97791.92950702556
2021-01-13,97791.92950702556
2021-01-14,97791.92950702556
2021-01-15,97791.92950702556
2021-01-19,97791.92950702556
2021-01-20,97791.92950702556
2021-01-21,97791.92950702556
2021-01-22,97791.92950702556
2021-01-25,97791.92950702556
2021-01-26,97791.92950702556
2021-01-27,97791.92950702556
2021-01-28,97791.92950702556
2021-01-29,97791.92950702556
2021-02-01,97791.92950702556
2021-02-02,97791.92950702556
