asset,period,series,annualized_return,sharpe,sortino,max_drawdown,calmar,var_95_daily
gold,Full period (2016-present),strategy,2.131195689837373,0.48021711641924325,0.21996583267861855,-4.93916410141556,0.4314891439275269,0.0
gold,Full period (2016-present),buy_and_hold,13.683258806501563,0.8517677217573697,1.0951392855427131,-25.060165259482513,0.5460163037561756,-1.6298551986980936
gold,Holdout only (2024-01-01-present),strategy,0.2766855899291709,0.08237567194661811,0.025134900058734026,-4.6459135743725515,0.059554614071041644,0.0
gold,Holdout only (2024-01-01-present),buy_and_hold,31.45199252722548,1.3573383697253776,1.6025578005799526,-25.060165259482503,1.255059262441391,-2.302379220960904
crude,Full period (2016-present),strategy,-0.36483087556898885,-0.11671388773651308,-0.026809235701523198,-6.3844122864420765,-0.05714400311266597,0.0
crude,Full period (2016-present),buy_and_hold,8.53176532282831,0.308808025479494,169.1240648167989,-99.986912708388,0.08532882045984577,-3.9286080936165924
crude,Holdout only (2024-01-01-present),strategy,-2.5563627098728503,-0.9804089283816866,-0.24634840011881684,-6.3844122864420765,-0.40040689654418726,0.0
crude,Holdout only (2024-01-01-present),buy_and_hold,8.682401525415017,0.4101741441300224,0.5380192347399696,-39.30942460921896,0.22087327941652946,-3.5762239646796257
sp500,Full period (2016-present),strategy,1.9302384201413059,0.45461958976478983,0.19702423067916688,-10.308651128272583,0.1872445188146313,0.0
sp500,Full period (2016-present),buy_and_hold,13.326356087016556,0.7882885403616542,0.9524390110884416,-33.92496000265327,0.3928186233962929,-1.659998177504557
sp500,Holdout only (2024-01-01-present),strategy,3.442463723539091,1.0586222321986185,0.3436576629372944,-2.1949519093877545,1.5683549643232544,0.0
sp500,Holdout only (2024-01-01-present),buy_and_hold,19.826695139340146,1.2457359742062235,1.6242195902798255,-18.902206184284008,1.048909050406232,-1.542720777908717
