Date,Open,High,Low,Close,Volume,ma_short,ma_long,rsi,trend_up,position,signal
2016-01-04,1063.4000244140625,1082.5,1063.199951171875,1075.0999755859375,143,,,,False,0.0,0.0
2016-01-05,1075.5999755859375,1081.5,1075.300048828125,1078.4000244140625,82,,,,False,0.0,0.0
2016-01-06,1081.5999755859375,1093.699951171875,1081.5999755859375,1091.9000244140625,52,,,,False,0.0,0.0
2016-01-07,1091.5999755859375,1109.4000244140625,1091.5999755859375,1107.699951171875,122,,,,False,0.0,0.0
2016-01-08,1111.0999755859375,1111.0999755859375,1093.0,1097.800048828125,98,,,,False,0.0,0.0
2016-01-11,1105.699951171875,1107.9000244140625,1096.5,1096.5,43,,,,False,0.0,0.0
2016-01-12,1093.800048828125,1098.5,1084.0,1085.5999755859375,87,,,,False,0.0,0.0
2016-01-13,1081.5,1093.9000244140625,1081.5,1087.5,50,,,,False,0.0,0.0
2016-01-14,1091.5,1091.5,1073.699951171875,1073.9000244140625,59,,,,False,0.0,0.0
2016-01-15,1085.0,1095.800048828125,1081.800048828125,1091.5,44,,,,False,0.0,0.0
2016-01-19,1089.800048828125,1094.4000244140625,1084.9000244140625,1089.9000244140625,17,,,,False,0.0,0.0
2016-01-20,1099.800048828125,1109.800048828125,1099.800048828125,1107.0999755859375,30,,,,False,0.0,0.0
2016-01-21,1103.5999755859375,1103.5999755859375,1094.0999755859375,1099.0999755859375,16,,,,False,0.0,0.0
2016-01-22,1098.0,1103.199951171875,1097.199951171875,1097.199951171875,4,,,,False,0.0,0.0
2016-01-25,1099.300048828125,1109.300048828125,1099.300048828125,1106.199951171875,8,,,62.39044057212612,False,0.0,0.0
2016-01-26,1115.0999755859375,1121.699951171875,1114.300048828125,1121.699951171875,181,,,65.72257824876311,False,0.0,0.0
2016-01-27,1117.800048828125,1117.800048828125,1115.800048828125,1116.0999755859375,168706,,,59.32202911635256,False,0.0,0.0
2016-01-28,1125.4000244140625,1125.699951171875,1109.800048828125,1115.5999755859375,52861,,,53.449795998434944,False,0.0,0.0
2016-01-29,1114.4000244140625,1118.5999755859375,1108.800048828125,1116.4000244140625,6955,,,58.82351578632836,False,0.0,0.0
2016-02-01,1116.699951171875,1130.0,1115.300048828125,1127.9000244140625,1682,1099.1549926757812,,63.58132830690764,False,0.0,0.0
2016-02-02,1128.300048828125,1131.4000244140625,1123.0,1127.300048828125,1230,1101.7649963378906,,69.80061835090197,False,0.0,0.0
2016-02-03,1128.5,1146.0,1125.0,1141.300048828125,1630,1104.9099975585937,,72.9131574022085,False,0.0,0.0
2016-02-04,1142.5,1157.5999755859375,1141.0,1157.5999755859375,771,1108.1949951171875,,84.84598387165627,False,0.0,0.0
2016-02-05,1155.5999755859375,1174.800048828125,1146.0,1157.800048828125,877,1110.7,,82.27852013150795,False,0.0,0.0
2016-02-08,1173.5,1200.4000244140625,1165.0,1197.9000244140625,931,1115.7049987792968,,88.24363928728894,False,0.0,0.0
2016-02-09,1188.699951171875,1199.199951171875,1186.699951171875,1198.699951171875,700,1120.8149963378905,,86.69872970506503,False,0.0,0.0
2016-02-10,1189.800048828125,1197.699951171875,1182.0999755859375,1194.699951171875,671,1126.2699951171876,,89.56955031007698,False,0.0,0.0
2016-02-11,1205.5999755859375,1260.800048828125,1204.5999755859375,1247.9000244140625,995,1134.2899963378907,,93.78271197573063,False,0.0,0.0
2016-02-12,1247.800048828125,1247.800048828125,1233.5,1239.0999755859375,250,1142.5499938964845,,88.65619707357949,False,0.0,0.0
2016-02-16,1233.0999755859375,1233.5999755859375,1193.5999755859375,1207.9000244140625,422,1148.3699951171875,,72.97443615676276,False,0.0,0.0
2016-02-17,1196.5,1212.9000244140625,1196.5,1211.0999755859375,53,1154.4299926757812,,75.64795492625026,False,0.0,0.0
2016-02-18,1209.5999755859375,1239.199951171875,1201.5999755859375,1226.0999755859375,315,1160.3799926757813,,77.66650651428964,False,0.0,0.0
2016-02-19,1230.800048828125,1232.800048828125,1221.800048828125,1230.4000244140625,76,1166.9449951171875,,78.05118784294737,False,0.0,0.0
2016-02-22,1226.0999755859375,1226.0999755859375,1203.0,1209.5,280,1172.5599975585938,,69.19096541780952,False,0.0,0.0
2016-02-23,1207.4000244140625,1226.0999755859375,1207.4000244140625,1222.300048828125,351,1178.3650024414062,,71.12988864887525,False,0.0,0.0
2016-02-24,1230.0,1250.0999755859375,1230.0,1238.699951171875,111,1184.2150024414063,,71.43484227029339,False,0.0,0.0
2016-02-25,1239.4000244140625,1241.5,1235.0,1238.199951171875,1349,1190.320001220703,,69.06337896822303,False,0.0,0.0
2016-02-26,1232.4000244140625,1239.0999755859375,1212.199951171875,1219.800048828125,656,1195.5300048828126,,63.50175077437075,False,0.0,0.0
2016-02-29,1218.5999755859375,1241.0,1218.5999755859375,1233.9000244140625,580,1201.4050048828126,,58.8408708008322,False,0.0,0.0
2016-03-01,1240.5,1248.4000244140625,1229.0,1230.300048828125,477,1206.5250061035156,,57.65506603865089,False,0.0,0.0
2016-03-02,1232.800048828125,1242.5999755859375,1226.0,1241.0999755859375,267,1212.2150024414063,,60.88181557405443,False,0.0,0.0
2016-03-03,1238.4000244140625,1267.9000244140625,1238.0,1257.4000244140625,123,1218.020001220703,,52.694274113587134,False,0.0,0.0
2016-03-04,1263.0,1279.9000244140625,1250.9000244140625,1269.9000244140625,268,1223.6350036621093,,58.555580723172646,False,0.0,0.0
2016-03-07,1259.800048828125,1272.300048828125,1259.699951171875,1263.199951171875,67,1228.9049987792969,,67.78134089044671,False,0.0,0.0
2016-03-08,1268.699951171875,1276.300048828125,1261.0,1262.0999755859375,43,1232.1149963378907,,66.62321788371005,False,0.0,0.0
2016-03-09,1254.5,1260.0,1244.800048828125,1256.5999755859375,79,1235.0099975585938,,60.59764444007099,False,0.0,0.0
2016-03-10,1250.0,1273.0,1237.5,1272.0,119,1238.875,,63.41935753162608,False,0.0,0.0
2016-03-11,1270.0,1280.699951171875,1249.4000244140625,1258.699951171875,87,1239.4149963378907,,66.68927536231884,False,0.0,0.0
2016-03-14,1256.0,1258.0,1234.5,1244.4000244140625,58,1239.679998779297,,57.42109073141458,False,0.0,0.0
2016-03-15,1228.300048828125,1236.0,1228.0,1230.4000244140625,37,1240.804998779297,1173.387998046875,47.16725813184772,True,0.0,0.0
2016-03-16,1229.5,1263.800048828125,1228.9000244140625,1229.300048828125,45,1241.7150024414063,1176.4719995117186,46.974877224196334,True,0.0,0.0
2016-03-17,1261.5,1270.0999755859375,1255.9000244140625,1264.5,27,1243.6350036621093,1180.1939990234375,63.63635686558405,True,0.0,0.0
2016-03-18,1257.0999755859375,1264.4000244140625,1251.5,1253.800048828125,542,1244.8050048828125,1183.4319995117187,56.19938926769165,True,0.0,0.0
2016-03-21,1256.199951171875,1256.199951171875,1243.4000244140625,1243.800048828125,1061,1246.5200073242188,1186.1540014648438,54.04434029332,True,0.0,0.0
