Date,Open,High,Low,Close,Volume,ma_short,ma_long,rsi,trend_up,position,signal,asset_return,strat_return,trade_cost,net_return,equity,buy_hold_equity
2016-01-04,2038.199951171875,2038.199951171875,1989.6800537109373,2012.6600341796875,4304880000,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2016-01-05,2013.780029296875,2021.93994140625,2004.1700439453125,2016.7099609375,3706620000,,,,False,0.0,0.0,0.0020122259542274534,0.0,0.0,0.0,10000.0,10020.122259542275
2016-01-06,2011.7099609375,2011.7099609375,1979.050048828125,1990.260009765625,4336660000,,,,False,0.0,0.0,-0.013115396702646942,-0.0,0.0,-0.0,10000.0,9888.704381099355
2016-01-07,1985.3199462890625,1985.3199462890625,1938.8299560546875,1943.0899658203125,5076590000,,,,False,0.0,0.0,-0.023700443014411654,-0.0,0.0,-0.0,10000.0,9654.337706428747
2016-01-08,1945.969970703125,1960.4000244140625,1918.4599609375,1922.030029296875,4664940000,,,,False,0.0,0.0,-0.010838374390218508,-0.0,0.0,-0.0,10000.0,9549.700379876867
2016-01-11,1926.1199951171875,1935.6500244140625,1901.0999755859373,1923.6700439453125,4607290000,,,,False,0.0,0.0,0.0008532721255336551,0.0,0.0,0.0,10000.0,9557.848873018214
2016-01-12,1927.8299560546875,1947.3800048828125,1914.3499755859373,1938.6800537109373,4887260000,,,,False,0.0,0.0,0.0078027985167561376,0.0,0.0,0.0,10000.0,9632.42684202798
2016-01-13,1940.3399658203125,1950.3299560546875,1886.4100341796875,1890.280029296875,5087030000,,,,False,0.0,0.0,-0.024965452304219538,-0.0,0.0,-0.0,10000.0,9391.948949129446
2016-01-14,1891.6800537109373,1934.469970703125,1878.9300537109373,1921.8399658203125,5241110000,,,,False,0.0,0.0,0.016695905386662213,0.0,0.0,0.0,10000.0,9548.756040180473
2016-01-15,1916.6800537109373,1916.6800537109373,1857.8299560546875,1880.3299560546875,5468460000,,,,False,0.0,0.0,-0.021599098001850003,-0.0,0.0,-0.0,10000.0,9342.511522672858
2016-01-19,1888.6600341796875,1901.43994140625,1864.5999755859373,1881.3299560546875,4928350000,,,,False,0.0,0.0,0.0005318215543925753,0.0,0.0,0.0,10000.0,9347.480071672775
2016-01-20,1876.1800537109373,1876.1800537109373,1812.2900390625,1859.3299560546875,6416070000,,,,False,0.0,0.0,-0.011693855152413501,-0.0,0.0,-0.0,10000.0,9238.171993674561
2016-01-21,1861.4599609375,1889.8499755859373,1848.97998046875,1868.989990234375,5078810000,,,,False,0.0,0.0,0.005195438361131455,0.0,0.0,0.0,10000.0,9286.168346837228
2016-01-22,1877.4000244140625,1908.8499755859373,1877.4000244140625,1906.9000244140625,4901760000,,,,False,0.0,0.0,0.020283701024494727,0.0,0.0,0.0,10000.0,9474.526209247602
2016-01-25,1906.280029296875,1906.280029296875,1875.969970703125,1877.0799560546875,4401380000,,,29.898576377200285,False,0.0,0.0,-0.015637982053378963,-0.0,0.0,-0.0,10000.0,9326.36373842312
2016-01-26,1878.7900390625,1906.72998046875,1878.7900390625,1903.6300048828125,4357940000,,,34.28310435966719,False,0.0,0.0,0.014144335590226431,0.0,0.0,0.0,10000.0,9458.278956975895
2016-01-27,1902.52001953125,1916.989990234375,1872.699951171875,1882.949951171875,4754040000,,,34.841936680870305,False,0.0,0.0,-0.010863483795639506,-0.0,0.0,-0.0,10000.0,9355.529096792148
2016-01-28,1885.219970703125,1902.9599609375,1873.6500244140625,1893.3599853515625,4693010000,,,42.1613523662484,False,0.0,0.0,0.005528577205787588,0.0,0.0,0.0,10000.0,9407.251861704755
2016-01-29,1894.0,1940.239990234375,1894.0,1940.239990234375,5497570000,,,52.65427898753926,False,0.0,0.0,0.0247602174153414,0.0,0.0,0.0,10000.0,9640.177463081442
2016-02-01,1936.93994140625,1947.199951171875,1920.300048828125,1939.3800048828125,4322530000,1919.6369934082031,,52.295098572821615,False,0.0,0.0,-0.00044323658717015935,-0.0,0.0,-0.0,10000.0,9635.90458372299
