Date,Open,High,Low,Close,Volume,ma_short,ma_long,rsi,trend_up,position,signal,asset_return,strat_return,trade_cost,net_return,equity,buy_hold_equity
2016-01-04,1063.4000244140625,1082.5,1063.199951171875,1075.0999755859375,143,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2016-01-05,1075.5999755859375,1081.5,1075.300048828125,1078.4000244140625,82,,,,False,0.0,0.0,0.0030695273956511393,0.0,0.0,0.0,10000.0,10030.695273956511
2016-01-06,1081.5999755859375,1093.699951171875,1081.5999755859375,1091.9000244140625,52,,,,False,0.0,0.0,0.012518545710656026,0.0,0.0,0.0,10000.0,10156.264991253196
2016-01-07,1091.5999755859375,1109.4000244140625,1091.5999755859375,1107.699951171875,122,,,,False,0.0,0.0,0.01447012217651622,0.0,0.0,0.0,10000.0,10303.227386533705
2016-01-08,1111.0999755859375,1111.0999755859375,1093.0,1097.800048828125,98,,,,False,0.0,0.0,-0.00893735016714281,-0.0,0.0,-0.0,10000.0,10211.143835528557
2016-01-11,1105.699951171875,1107.9000244140625,1096.5,1096.5,43,,,,False,0.0,0.0,-0.001184230980416534,-0.0,0.0,-0.0,10000.0,10199.051482653036
2016-01-12,1093.800048828125,1098.5,1084.0,1085.5999755859375,87,,,,False,0.0,0.0,-0.00994074273968304,-0.0,0.0,-0.0,10000.0,10097.6653356752
2016-01-13,1081.5,1093.9000244140625,1081.5,1087.5,50,,,,False,0.0,0.0,0.0017502067582830794,0.0,0.0,0.0,10000.0,10115.338337788577
2016-01-14,1091.5,1091.5,1073.699951171875,1073.9000244140625,59,,,,False,0.0,0.0,-0.012505724676724173,-0.0,0.0,-0.0,10000.0,9988.83870152428
2016-01-15,1085.0,1095.800048828125,1081.800048828125,1091.5,44,,,,False,0.0,0.0,0.016388839916025022,0.0,0.0,0.0,10000.0,10152.544179950557
2016-01-19,1089.800048828125,1094.4000244140625,1084.9000244140625,1089.9000244140625,17,,,,False,0.0,0.0,-0.0014658502848717836,-0.0,0.0,-0.0,10000.0,10137.662070172204
2016-01-20,1099.800048828125,1109.800048828125,1099.800048828125,1107.0999755859375,30,,,,False,0.0,0.0,0.015781219182118944,0.0,0.0,0.0,10000.0,10297.646737295845
2016-01-21,1103.5999755859375,1103.5999755859375,1094.0999755859375,1099.0999755859375,16,,,,False,0.0,0.0,-0.0072260863304292045,-0.0,0.0,-0.0,10000.0,10223.235052971882
2016-01-22,1098.0,1103.199951171875,1097.199951171875,1097.199951171875,4,,,,False,0.0,0.0,-0.0017287093588093105,-0.0,0.0,-0.0,10000.0,10205.562050858502
2016-01-25,1099.300048828125,1109.300048828125,1099.300048828125,1106.199951171875,8,,,62.39044057212612,False,0.0,0.0,0.008202698141198006,0.0,0.0,0.0,10000.0,10289.27519572296
2016-01-26,1115.0999755859375,1121.699951171875,1114.300048828125,1121.699951171875,181,,,65.72257824876311,False,0.0,0.0,0.014011933361215423,0.0,0.0,0.0,10000.0,10433.447834100638
2016-01-27,1117.800048828125,1117.800048828125,1115.800048828125,1116.0999755859375,168706,,,59.32202911635256,False,0.0,0.0,-0.004992400668366814,-0.0,0.0,-0.0,10000.0,10381.359882160305
2016-01-28,1125.4000244140625,1125.699951171875,1109.800048828125,1115.5999755859375,52861,,,53.449795998434944,False,0.0,0.0,-0.0004479885412931317,-0.0,0.0,-0.0,10000.0,10376.709151890056
2016-01-29,1114.4000244140625,1118.5999755859375,1108.800048828125,1116.4000244140625,6955,,,58.82351578632836,False,0.0,0.0,0.0007171466884487998,0.0,0.0,0.0,10000.0,10384.15077449533
2016-02-01,1116.699951171875,1130.0,1115.300048828125,1127.9000244140625,1682,1099.1549926757812,,63.58132830690764,False,0.0,0.0,0.010300967169931452,0.0,0.0,0.0,10000.0,10491.117570711027
2016-02-02,1128.300048828125,1131.4000244140625,1123.0,1127.300048828125,1230,1101.7649963378906,,69.80061835090197,False,0.0,0.0,-0.0005319403962680269,-0.0,0.0,-0.0,10000.0,10485.536921473169
2016-02-03,1128.5,1146.0,1125.0,1141.300048828125,1630,1104.9099975585937,,72.9131574022085,False,0.0,0.0,0.012419053839795025,0.0,0.0,0.0,10000.0,10615.757369040102
2016-02-04,1142.5,1157.5999755859375,1141.0,1157.5999755859375,771,1108.1949951171875,,84.84598387165627,False,0.0,0.0,0.014281894383995741,0.0,0.0,0.0,10000.0,10767.370494590858
2016-02-05,1155.5999755859375,1174.800048828125,1146.0,1157.800048828125,877,1110.7,,82.27852013150795,False,0.0,0.0,0.00017283452523075837,0.0,0.0,0.0,10000.0,10769.231467958274
2016-02-08,1173.5,1200.4000244140625,1165.0,1197.9000244140625,931,1115.7049987792968,,88.24363928728894,False,0.0,0.0,0.03463462937881623,0.0,0.0,0.0,10000.0,11142.219808545693
2016-02-09,1188.699951171875,1199.199951171875,1186.699951171875,1198.699951171875,700,1120.8149963378903,,86.69872970506503,False,0.0,0.0,0.0006677742228144989,0.0,0.0,0.0,10000.0,11149.660295718773
2016-02-10,1189.800048828125,1197.699951171875,1182.0999755859375,1194.699951171875,671,1126.2699951171876,,89.56955031007698,False,0.0,0.0,-0.0033369484966521146,-0.0,0.0,-0.0,10000.0,11112.454453556793
2016-02-11,1205.5999755859375,1260.800048828125,1204.5999755859375,1247.9000244140625,995,1134.289996337891,,93.78271197573063,False,0.0,0.0,0.044530070659167365,0.0,0.0,0.0,10000.0,11607.292835570455
2016-02-12,1247.800048828125,1247.800048828125,1233.5,1239.0999755859375,250,1142.5499938964845,,88.65619707357949,False,0.0,0.0,-0.007051886093404791,-0.0,0.0,-0.0,10000.0,11525.43952864122
2016-02-16,1233.0999755859375,1233.5999755859375,1193.5999755859375,1207.9000244140625,422,1148.3699951171875,,72.97443615676276,False,0.0,0.0,-0.025179526903889582,-0.0,0.0,-0.0,10000.0,11235.234413950646
